formula,FE
Ag2PS3,-0.2452192696670355
Ag2PS3,-0.23619225626426044
Ag3PS4,-0.2556438824032732
Ag4P2S7,-0.2417585822927912
Ag7P3S11,-0.23196407281109477
Ag7PS6,-0.19319769409651347
AgPS3,-0.23192409328273697
Al2(PS3)3,-0.5988895931433343
AlPS4,-0.6884665082043652
AlPS4,-0.6935467832043649
AlPS4,-0.6797676690376981
BPS4,-0.6447311889682528
CsPS3,-0.8343062732827363
BiPS4,-0.6332090324404765
Ba3(PS4)2,-1.5667072518681204
Ba3(PS4)2,-1.5602029128296588
BaPS3,-1.4734861309285712
CaPS3,-1.236385020282738
CdPS3,-0.5266168252827385
CdPS3,-0.5258136672827376
CePS4,-1.3585529305654755
CoPS,-0.5817331569295648
Cu3PS4,-0.36209738552827275
Cu7PS6,-0.25686335641794195
CuPS3,-0.30067176578273946
DyPS,-1.7920906556795633
DyPS4,-1.2108011127876992
ErPS,-1.7659731642906753
ErPS4,-1.1862377277182528
EuPS3,-1.2880862237827386
FePS,-0.6988506157142851
FePS3,-0.5557239989285705
Ga5(PS)3,-0.633485929760552
GaPS4,-0.5058564702876988
GdPS,-1.7608366906795634
GdPS4,-1.2097845242460323
Hf(PS3)2,-0.7995200503141527
Hf(PS3)2,-0.7842542019808181
Hg2P2S7,-0.4903178437987014
Hg3(PS4)2,-0.44308848590659433
HgPS3,-0.4847087179285737
HoPS,-1.7794020506795623
HoPS4,-1.1987710459126955
In2(PS3)3,-0.47946790673150425
InPS4,-0.4839638782043636
K2PS3,-1.1887649875654749
K3PS4,-1.2402209454866062
KPS3,-0.9567200658785652
LaPS,-1.8897569952628952
LaPS4,-1.3227928334126962
Li3PS4,-1.0621818330282737
Li3PS4,-1.0685910039657731
Li3PS4,-1.0760115992782735
Li48P16S61,-1.0661381128128797
Li7P3S11,-0.9604574811840981
Li7PS6,-1.2361164165369882
LuPS4,-1.1783966659821417
MgPS3,-1.0518328314285696
MnPS3,-0.6998144270147776
MnPS3,-0.7064777440147779
Na2PS3,-1.0857032533169122
Na3PS4,-1.1193602248475982
Na3PS4,-1.1122384748475977
NaPS3,-0.8653607892044327
Nb(PS4)2,-0.7949641353896107
Nb(PS4)2,-0.8022802315259742
Nb2PS10,-0.9642211082417632
Nb4P2S21,-0.9369834500661364
NdPS,-1.793416903179562
NdPS4,-1.2508081379960316
Np(PS3)4,-0.5549398590826329
P2Pb3S8,-0.7372087509065941
P2Pd3S8,-0.393165472188645
PAuS,-0.09284601107811834
PAuS4,-0.2110995715376968
PIrS,-0.8592307894295601
POsS,-0.5610892527628977
PPbS3,-0.7249724559285695
PPdS,-0.5030339394295638
PRhS,-0.8381435135962315
PRuS,-0.6685832710962293
PrPS,-1.7813565174851196
PrPS4,-1.2529501059821417
Rb2PS3,-1.1910784474404756
Rb3PS4,-1.2447343949553566
RbPS3,-0.9788879319285713
SbPS4,-0.5972824748015858
ScPS4,-1.0739225057043644
SmPS,-1.729317757797619
SmPS4,-1.3851764822321424
Sn(PS3)2,-0.3540162669808211
SnPS3,-0.3610359417827368
SnPS3,-0.3610071117827374
SnPS3,-0.40666247878273654
SnPS3,-0.3996262967827377
SrPS3,-1.3084676692827373
Ta4P4S29,-0.8316115204839105
TaPS6,-0.9082865597782721
TbPS,-1.8029834656795647
TbPS4,-1.2217677250793646
Th(PS3)2,-0.9965376280919302
Ti(PS3)2,-0.9181422452910044
Ti(PS3)2,-0.9005823469576713
Ti4P8S29,-0.8570614187311248
Tl2PS3,-0.6496843180307555
Tl3PS4,-0.6720601255803573
TlPS3,-0.6247138870952398
TmPS,-1.706439461041666
V2P4S13,-0.7230686450563903
V2PS10,-0.8525393666071422
VPS3,-0.7780701344285703
YPS,-1.7855304477628973
YPS4,-1.2126701596626976
Zn2(PS3)3,-0.44599288566007644
Zn3(PS4)2,-0.5605006970694313
ZnPS3,-0.4970863288133415
Zr(PS3)2,-0.9936775493650774
ZrP2S7,-0.9676533076785709
